booking_id,user_id,show_id,booking_date,total_tickets,payment_status,booking_status,ticket_price,movie_id,theatre_id,seats_booked,show_time,theatre_name
BK_1,US_2,SH_6385,"2025-07-26 19:40:18",2,Completed,Successful,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
BK_2,US_1,SH_217,"2024-05-31 11:52:49",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_3,US_4,SH_431,"2025-06-05 22:58:22",2,Completed,Successful,600,MV_3,TH_3,2,15:00:00,Cinepolis
BK_4,US_2,SH_6573,"2024-05-11 3:39:48",1,Completed,Successful,800,MV_4,TH_4,1,18:30:00,"Wave Cinemas"
BK_5,US_1,SH_4680,"2024-09-21 4:57:45",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_6,US_2,SH_500,"2024-03-19 2:24:22",2,Completed,Successful,250,MV_6,TH_1,2,09:00:00,"Miraj Cinemas"
BK_7,US_2,SH_8457,"2024-09-30 23:31:54",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_8,US_1,SH_6467,"2024-03-05 10:28:18",2,Completed,Successful,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_9,US_4,SH_365,"2025-08-20 12:17:27",4,Completed,Successful,800,MV_9,TH_4,4,18:30:00,Cinepolis
BK_10,US_1,SH_2314,"2025-12-28 13:57:17",1,Failed,Cancelled,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_11,US_1,SH_3671,"2025-12-28 6:16:26",4,Completed,Successful,250,MV_1,TH_1,4,09:00:00,"PVR Cinemas"
BK_12,US_1,SH_361,"2025-07-23 10:01:53",4,Completed,Successful,450,MV_2,TH_2,4,12:30:00,"Carnival Cinemas"
BK_13,US_1,SH_69,"2024-03-22 3:47:29",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_14,US_2,SH_934,"2025-04-29 17:29:36",2,Completed,Successful,800,MV_4,TH_4,2,18:30:00,"Wave Cinemas"
BK_15,US_1,SH_4698,"2024-08-04 4:52:44",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_16,US_4,SH_6881,"2025-01-26 8:35:18",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_17,US_1,SH_5468,"2024-11-28 11:03:51",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_18,US_2,SH_7940,"2024-08-03 14:45:46",2,Completed,Successful,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_19,US_1,SH_8416,"2025-02-22 6:28:14",1,Completed,Successful,800,MV_9,TH_4,1,18:30:00,Cinepolis
BK_20,US_3,SH_4449,"2025-11-10 21:33:50",3,Completed,Successful,500,MV_10,TH_5,3,21:45:00,"Wave Cinemas"
BK_21,US_3,SH_2846,"2025-09-02 14:28:49",4,Completed,Successful,250,MV_1,TH_1,4,09:00:00,"PVR Cinemas"
BK_22,US_4,SH_350,"2024-07-18 6:24:31",3,Pending,Pending,450,MV_2,TH_2,3,12:30:00,"Carnival Cinemas"
BK_23,US_2,SH_3797,"2024-10-15 17:30:58",2,Completed,Successful,600,MV_3,TH_3,2,15:00:00,Cinepolis
BK_24,US_5,SH_1071,"2024-03-19 0:29:20",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_25,US_2,SH_2988,"2025-11-29 7:02:45",2,Completed,Successful,500,MV_5,TH_5,2,21:45:00,INOX
BK_26,US_2,SH_6188,"2025-04-23 9:36:57",1,Completed,Successful,250,MV_6,TH_1,1,09:00:00,"Miraj Cinemas"
BK_27,US_1,SH_3130,"2025-01-08 22:07:25",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_28,US_4,SH_1611,"2025-10-01 6:54:55",2,Completed,Successful,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_29,US_1,SH_3570,"2025-05-04 21:36:35",1,Completed,Successful,800,MV_9,TH_4,1,18:30:00,Cinepolis
BK_30,US_3,SH_368,"2025-02-23 7:19:42",3,Completed,Successful,500,MV_10,TH_5,3,21:45:00,"Wave Cinemas"
BK_31,US_1,SH_2235,"2024-11-02 23:01:30",3,Completed,Successful,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_32,US_1,SH_7841,"2024-01-15 12:53:18",2,Completed,Successful,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_33,US_2,SH_2985,"2025-09-19 18:58:11",3,Completed,Successful,600,MV_3,TH_3,3,15:00:00,Cinepolis
BK_34,US_6,SH_926,"2024-01-13 11:15:49",4,Completed,Successful,800,MV_4,TH_4,4,18:30:00,"Wave Cinemas"
BK_35,US_4,SH_8697,"2024-01-03 19:24:36",1,Failed,Cancelled,500,MV_5,TH_5,1,21:45:00,INOX
BK_36,US_2,SH_4759,"2024-06-15 16:46:58",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_37,US_1,SH_3851,"2025-05-03 10:43:40",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
